,id,Track Name,Artist,Acousticness,Daceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Liked
0,7oDd86yk8itslrA9HRP2ki,Die For You - Remix,The Weeknd,0.232,0.531,0.525,0.0,0.441,-6.5,0.0671,66.9,4,0
1,0yLdNVWF3Srea0uzk55zFn,Flowers,Miley Cyrus,0.0632,0.707,0.681,5.15e-06,0.0322,-4.325,0.0668,117.999,4,0
2,6AQbmUe0Qwf5PZnt4HmTXv,Boy's a liar Pt. 2,PinkPantheress,0.252,0.696,0.809,0.000128,0.248,-8.254,0.05,132.962,4,0
3,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,0.0521,0.644,0.735,0.144,0.161,-5.747,0.0391,88.98,4,0
4,5Z2MiIZ5I3jJvvmeWMLbOQ,Escapism.,RAYE,0.138,0.538,0.742,4.67e-05,0.0934,-5.355,0.114,96.107,4,0
5,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,0.417,0.715,0.62,0.0,0.0822,-6.005,0.0484,97.95,4,0
6,0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Rema,0.382,0.801,0.806,0.000669,0.114,-5.206,0.0381,106.999,4,0
7,0DWdj2oZMBFSzRsi2Cvfzf,TQG,KAROL G,0.673,0.72,0.63,0.0,0.0936,-3.547,0.277,179.974,4,0
8,4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,4,0
9,6UN73IYd0hZxLi8wFPMQij,Players,Coi Leray,0.03,0.954,0.516,7.54e-06,0.0504,-5.817,0.16,105.001,4,0
10,1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,Beyoncé,0.0368,0.78,0.689,9.69e-06,0.0698,-5.668,0.141,115.042,4,0
11,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,0.13,0.637,0.643,1.8e-06,0.142,-6.571,0.0519,97.008,4,0
12,5odlY52u43F5BjByhxg7wg,golden hour,JVKE,0.653,0.515,0.593,0.162,0.25,-4.801,0.0322,94.467,3,0
13,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,0.274,0.778,0.632,0.0,0.0915,-5.6,0.0493,122.104,4,0
14,3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Sam Smith,0.013,0.714,0.472,4.51e-06,0.266,-7.375,0.0864,131.121,4,0
15,4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,Lil Uzi Vert,0.0652,0.486,0.545,0.00474,0.0642,-7.924,0.0336,150.187,4,0
16,4sx6NRwL6Ol3V6m9exwGlQ,Love Again,The Kid LAROI,0.716,0.662,0.398,0.0,0.111,-6.691,0.0275,107.001,4,0
17,1yHVHoz6Ny29gbbWJYVnFt,Heaven,Niall Horan,0.0708,0.571,0.761,0.0,0.331,-3.485,0.0261,91.991,4,0
18,3zkyus0njMCL6phZmNNEeN,LET GO,Central Cee,0.859,0.735,0.449,0.0,0.213,-9.933,0.383,146.016,4,0
19,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta,0.00383,0.561,0.965,7.07e-06,0.371,-3.673,0.0343,128.04,4,0
20,65FftemJ1DbbZ45DUfHJXE,OMG,NewJeans,0.357,0.804,0.771,3.07e-06,0.108,-4.067,0.0433,126.956,4,0
21,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,0.141,0.559,0.551,0.0,0.11,-7.231,0.132,143.008,4,0
22,78Sw5GDo6AlGwTwanjXbGh,Here With Me,d4vd,0.534,0.574,0.469,9.21e-05,0.128,-8.209,0.0254,132.023,4,0
